vehicle_id,trip_id,tyre_id,axle_type,odometer_km,ambient_temp_c,vehicle_speed_kmph,pressure_kpa,temperature_c,load_kg,deformation_mm,tread_depth_mm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,vibration_rms_g,rotational_speed_rpm,pressure_deviation_pct,temp_rise_rate_c_per_min,load_ratio_pct,load_pressure_ratio,tread_wear_pct,injected_scenario,tyre_health_score,risk_class,dominant_fault
45,2,RLI,drive,234703.6,17.73,75.01,665.03,56.87,1922.06,10.14,0.3,0.0017,-0.0235,1.0603,1.622,-4.08,2391.554,0.0374,400.43,-3.48,1.324,96.1,289.02,98.33,normal,59.12,Warning,tread_wear
244,8,RLO,drive,260684.6,27.2,43.89,503.49,99.08,1507.85,15.72,0.21,-0.2176,0.0475,1.0472,-1.193,-0.079,1399.22,0.1314,233.45,-26.92,1.235,75.39,299.48,98.83,multi_fault,9.49,Critical,pressure
98,1,FL,steer,106052.4,34.19,89.31,731.07,84.33,2207.66,7.76,9.094,0.0649,-0.0857,1.0108,1.426,-0.335,2789.176,0.0624,466.69,-3.55,0.169,64.93,301.98,49.48,normal,84.77,Healthy,temperature
160,8,RLO,drive,285592.2,18.29,20.27,683.77,44.92,2000.62,8.85,0.3,0.061,-0.0386,1.046,2.206,-0.689,645.538,0.0494,106.49,-0.76,0.821,100.03,292.59,98.33,normal,58.72,Warning,tread_wear
197,8,FR,steer,192401.4,29.89,78.26,734.12,77.91,2633.92,6.58,1.401,0.0121,0.0504,0.9778,-0.65,-1.771,2444.311,0.0325,407.54,-3.15,1.949,77.47,358.79,92.21,normal,72.82,Watch,tread_wear
142,5,FL,steer,196452.0,47.33,47.31,756.73,83.28,2824.98,9.39,0.3,0.0005,0.0123,0.9368,-0.96,-2.362,1473.407,0.0372,247.51,-0.17,0.616,83.09,373.31,98.33,normal,60.81,Watch,tread_wear
227,7,RLI,drive,273726.3,21.17,10.05,706.07,42.57,1662.86,5.66,1.761,0.0528,-0.0159,1.0587,0.537,-0.888,324.314,0.0465,54.84,2.48,1.082,83.14,235.51,90.22,tread_wear,88.34,Healthy,tread_wear
138,1,RRO,drive,102128.6,37.0,35.86,682.75,61.56,1825.98,10.03,8.027,-0.0379,0.0673,1.0427,-1.157,0.042,1138.537,0.0509,191.1,-0.91,1.121,91.3,267.45,55.41,normal,96.76,Healthy,none
75,2,RLO,drive,8557.2,35.29,72.97,703.73,81.67,1521.09,10.81,17.201,0.0755,0.007,1.0551,0.545,-3.591,2325.47,0.0541,387.34,2.14,2.037,76.05,216.15,4.44,normal,89.38,Healthy,temperature
243,8,RLO,drive,177491.2,27.09,76.28,672.12,71.27,1544.08,8.31,1.037,0.0096,0.046,1.0874,-0.147,-0.313,2429.026,0.0573,404.02,-2.45,1.137,77.2,229.73,94.24,normal,75.98,Watch,tread_wear
34,8,RRI,drive,187725.6,21.37,42.49,676.75,55.43,1404.91,30.19,0.3,-0.097,-0.0029,1.0207,-1.36,1.936,1357.665,0.0573,224.64,-1.78,1.005,70.25,207.6,98.33,deformation_bulge,64.66,Watch,tread_wear
93,8,RLI,drive,45918.6,13.92,49.11,708.98,53.73,1833.14,31.51,13.221,-0.0527,-0.0052,1.0069,-2.547,0.269,1565.474,0.0308,260.42,2.9,0.451,91.66,258.56,26.55,deformation_bulge,88.48,Healthy,deformation
70,5,RRI,drive,139697.9,16.4,62.02,704.04,51.02,1197.92,32.23,2.526,0.0203,0.0517,1.0979,2.107,0.103,1974.85,0.065,327.24,2.18,-0.738,59.9,170.15,85.96,deformation_bulge,87.54,Healthy,deformation
22,8,RLI,drive,278262.5,44.74,51.24,695.71,84.09,1905.95,10.57,0.3,-0.0601,0.0155,0.9689,0.251,3.222,1635.05,0.0401,271.28,0.97,1.251,95.3,273.96,98.33,normal,56.8,Warning,tread_wear
100,7,RRI,drive,222371.0,25.95,60.71,662.93,64.06,1131.82,10.0,0.3,0.0183,0.0505,0.9567,1.064,1.91,1935.656,0.0398,325.14,-3.78,1.961,56.59,170.73,98.33,normal,69.18,Watch,tread_wear
242,2,RLI,drive,158841.0,12.93,57.33,683.02,54.7,2028.07,10.09,4.359,-0.0623,0.0645,1.0117,1.038,0.311,1821.994,0.0522,306.41,-0.87,0.527,101.4,296.93,75.78,normal,82.44,Healthy,load
155,8,RLO,drive,113549.6,16.3,22.64,686.73,99.86,1337.18,9.42,6.673,-0.1019,0.0617,1.0052,-0.412,6.434,723.081,0.0688,121.4,-0.33,7.864,66.86,194.72,62.93,overheating,71.84,Watch,temperature
144,6,RRO,drive,92434.3,28.03,30.32,672.78,57.96,1220.81,12.32,9.487,0.0434,0.0342,1.01,0.61,1.603,962.02,0.0324,160.34,-2.35,0.96,61.04,181.46,47.3,normal,98.72,Healthy,none
82,2,FL,steer,139897.4,16.8,88.65,739.34,68.48,3113.19,7.29,2.953,-0.008,0.0347,0.9988,1.692,-1.644,2772.328,0.0206,459.83,-2.46,0.316,91.56,421.07,83.6,normal,94.35,Healthy,none
99,2,RRO,drive,129858.2,23.02,65.13,728.49,68.13,1775.72,9.95,7.031,0.025,-0.0933,0.9833,1.031,1.698,2069.211,0.0566,346.93,5.73,0.443,88.79,243.75,60.94,normal,93.92,Healthy,none
222,4,FR,steer,154864.5,40.55,66.41,776.56,78.05,2395.08,9.99,0.748,-0.1005,-0.0007,0.9531,0.127,-0.484,2069.081,0.064,343.99,2.45,-0.12,70.44,308.42,95.85,normal,71.36,Watch,tread_wear
78,6,FL,steer,241171.9,29.77,25.06,749.93,52.51,2489.43,7.19,0.3,-0.0013,-0.0069,1.0428,0.652,1.847,782.042,0.025,130.74,-1.07,0.19,73.22,331.96,98.33,normal,72.55,Watch,tread_wear
52,3,FR,steer,133926.6,33.59,57.77,750.36,70.87,3068.35,8.33,6.024,0.0302,0.006,0.9985,0.343,2.085,1803.159,0.0178,300.78,-1.01,0.798,90.25,408.92,66.53,normal,95.27,Healthy,none
120,7,RLI,drive,239002.7,24.34,57.5,684.95,59.84,1646.51,11.56,0.3,-0.1025,0.0752,1.0012,0.499,2.429,1831.756,0.0734,305.77,-0.59,0.006,82.33,240.38,98.33,normal,72.76,Watch,tread_wear
239,3,RRI,drive,142227.1,17.33,50.92,693.94,56.47,1153.87,9.25,2.649,-0.0403,0.0115,1.0224,0.105,-5.244,1624.086,0.0274,269.17,0.72,1.378,57.69,166.28,85.28,normal,98.69,Healthy,none
28,3,RLO,drive,192653.0,23.58,84.4,714.42,61.96,1838.05,5.34,1.406,-0.0244,0.0134,1.0384,-1.231,1.058,2689.61,0.0274,448.26,3.69,0.386,91.9,257.28,92.19,normal,80.08,Healthy,tread_wear
246,4,RLO,drive,117807.3,34.43,48.24,712.77,64.96,1726.32,8.7,1.868,-0.0769,0.0791,0.9565,-3.139,4.095,1536.457,0.0685,253.82,3.45,1.357,86.32,242.2,89.62,tread_wear,88.09,Healthy,tread_wear
48,1,RRI,drive,48588.8,27.12,35.37,729.66,57.67,1208.09,3.4,11.825,0.0368,0.0515,0.9947,0.111,-0.542,1127.069,0.0366,189.45,5.9,0.692,60.4,165.57,34.31,normal,94.41,Healthy,pressure
203,2,RRO,drive,213786.9,20.95,100.0,425.97,100.39,1566.29,16.98,0.3,-0.1268,0.0851,1.1855,-2.041,-0.171,3184.283,0.1387,530.64,-38.18,-0.076,78.31,367.7,98.33,underinflation,3.4,Critical,pressure
195,2,RRI,drive,30837.9,25.35,59.89,802.68,63.63,830.95,5.91,15.231,0.0441,0.0015,0.9037,0.163,-1.856,1901.959,0.0612,318.06,16.5,1.402,41.55,103.52,15.38,overinflation,84.1,Healthy,pressure
206,5,RLO,drive,75621.5,39.16,65.82,640.17,83.43,1484.17,11.79,11.079,0.0088,-0.1051,1.0316,3.012,1.859,2094.349,0.0636,349.41,-7.09,0.567,74.21,231.84,38.45,normal,77.2,Watch,pressure
54,5,RRI,drive,258974.2,22.41,76.29,681.92,72.47,1341.68,10.89,2.495,-0.0038,-0.014,0.9918,1.738,2.544,2427.807,0.0096,403.33,-1.03,0.883,67.08,196.75,86.14,tread_wear,88.31,Healthy,none
181,6,FL,steer,273804.7,34.61,51.91,720.37,71.06,2552.84,8.36,0.3,0.0662,-0.0381,1.1073,-1.708,1.161,1622.861,0.076,269.07,-4.96,0.541,75.08,354.38,98.33,normal,65.77,Watch,tread_wear
153,2,FL,steer,32923.0,35.04,100.0,809.27,90.57,2490.13,9.62,15.029,-0.0418,-0.0126,0.9853,-2.939,2.091,3122.503,0.0266,520.18,6.76,0.94,73.24,307.7,16.51,normal,78.68,Watch,temperature
205,5,RRI,drive,167108.0,41.22,60.04,706.54,78.1,1444.27,7.93,0.3,-0.1052,0.0747,0.9926,-0.953,1.224,1910.246,0.0746,317.08,2.55,-0.255,72.21,204.42,98.33,normal,65.17,Watch,tread_wear
62,3,FR,steer,91326.8,15.71,30.2,796.06,90.82,2452.24,8.65,9.384,0.102,0.0269,1.0006,-1.853,-1.861,941.32,0.0609,157.25,5.02,7.38,72.12,308.05,47.87,overheating,71.33,Watch,temperature
105,5,RLI,drive,156637.3,28.03,21.3,676.44,55.74,1419.63,8.61,1.155,0.0046,-0.0121,0.9653,-1.58,0.493,678.658,0.0214,113.78,-1.82,1.33,70.98,209.87,93.59,normal,81.87,Healthy,tread_wear
41,2,FL,steer,264205.7,25.19,82.31,766.02,67.65,2564.93,4.49,0.3,0.0811,-0.0248,0.9674,-1.553,-0.727,2566.067,0.0525,425.81,1.06,1.394,75.44,334.84,98.33,normal,72.43,Watch,tread_wear
97,6,RLI,drive,152943.0,22.59,61.95,690.03,63.93,2327.39,7.62,3.221,0.0024,-0.0173,0.9234,-1.842,-2.959,1971.731,0.0454,329.28,0.15,1.178,116.37,337.29,82.1,overload,79.08,Watch,load
238,5,FL,steer,251330.3,43.77,48.65,501.6,103.47,1319.57,10.74,0.3,-0.0237,-0.0013,1.0036,2.967,2.313,1524.268,0.0139,252.61,-33.83,0.298,38.81,263.07,98.33,underinflation,8.39,Critical,pressure
233,6,RLO,drive,16777.0,26.78,71.76,716.54,69.06,1580.3,12.89,16.656,-0.0008,0.038,0.9268,0.848,-2.439,2284.36,0.0476,379.63,4.0,0.355,79.02,220.55,7.47,normal,95.07,Healthy,none
148,3,RLO,drive,255042.0,30.5,52.51,676.35,124.29,1471.32,7.99,0.3,0.0419,0.0091,0.9539,3.417,1.651,1672.273,0.0363,278.2,-1.84,7.328,73.57,217.54,98.33,overheating,27.03,Critical,temperature
225,1,RLI,drive,255282.1,30.02,60.71,711.51,62.11,1617.05,8.46,0.3,-0.0536,0.0127,1.0071,-0.488,-1.459,1932.987,0.032,322.47,3.27,-0.244,80.85,227.27,98.33,normal,71.12,Watch,tread_wear
73,8,FR,steer,162739.4,31.47,39.82,747.84,64.62,2231.36,5.97,3.523,0.0357,0.018,0.9136,-0.218,1.397,1243.974,0.055,206.39,-1.34,0.851,65.63,298.37,80.43,normal,100.0,Healthy,none
127,6,RLI,drive,189000.4,33.27,100.0,691.1,88.6,1634.1,10.14,0.3,-0.0877,0.0383,1.0055,1.245,0.99,3182.265,0.0554,528.03,0.3,0.671,81.7,236.45,98.33,normal,61.25,Watch,tread_wear
241,8,RRO,drive,10998.8,31.78,42.27,691.28,62.73,1941.83,12.26,17.458,0.0016,-0.0564,0.9985,2.005,-1.577,1347.028,0.0326,226.1,0.33,1.021,97.09,280.9,3.01,normal,97.93,Healthy,load
122,7,RRI,drive,60980.2,44.63,58.29,683.8,84.54,2022.94,10.99,11.009,0.0921,-0.0008,0.8895,1.041,-0.769,1852.778,0.083,307.95,-0.75,0.656,101.15,295.84,38.84,normal,72.06,Watch,load
2,7,FR,steer,212143.9,36.36,68.17,769.45,75.56,2440.65,7.33,0.3,-0.0091,-0.0113,1.0399,-0.258,0.769,2129.515,0.0245,355.12,1.51,0.69,71.78,317.19,98.33,normal,69.81,Watch,tread_wear
238,6,FL,steer,223649.4,28.22,66.32,752.35,66.28,3294.91,11.26,0.3,0.0104,-0.0595,1.0404,-0.276,1.786,2070.09,0.0419,345.09,-0.75,-0.277,96.91,437.95,98.33,normal,64.56,Watch,tread_wear
165,6,FR,steer,287271.4,5.0,84.51,733.68,53.38,3058.14,6.42,0.3,-0.1332,0.0274,0.9188,-2.207,-2.149,2640.854,0.0915,439.77,-3.21,1.174,89.95,416.82,98.33,normal,70.38,Watch,tread_wear
245,1,RLI,drive,174482.9,30.92,58.04,698.59,67.68,1447.51,7.33,0.534,0.096,-0.0932,0.9658,-0.81,-0.234,1847.658,0.0797,308.68,1.39,1.298,72.38,207.21,97.03,normal,74.1,Watch,tread_wear
155,6,RRI,drive,129964.2,18.23,95.8,701.87,72.03,1212.9,10.62,6.69,-0.0005,0.0888,0.9562,-0.387,2.436,3049.479,0.0572,509.11,1.87,0.831,60.65,172.81,62.83,normal,96.97,Healthy,none
147,8,RLI,drive,193365.3,28.57,84.62,654.69,73.23,616.4,6.66,0.392,-0.0675,0.1315,1.0813,-3.117,0.706,2695.5,0.0974,450.48,-4.98,0.805,30.82,94.15,97.82,normal,64.24,Watch,tread_wear
196,2,FR,steer,34369.6,33.43,40.29,491.74,99.34,2568.06,9.26,14.037,0.0618,-0.0223,1.0414,4.989,0.479,1257.88,0.0449,210.45,-35.13,0.238,75.53,522.24,22.01,underinflation,37.35,Critical,pressure
247,1,FR,steer,120336.7,17.38,38.35,744.8,54.51,2742.81,8.46,7.33,0.0165,-0.031,1.0794,-1.26,0.476,1198.533,0.0501,199.63,-1.74,1.507,80.67,368.26,59.28,normal,96.99,Healthy,none
48,5,FL,steer,177373.5,26.39,47.47,818.99,60.77,1495.6,12.17,0.791,-0.0796,-0.0667,1.0025,1.59,1.444,1478.721,0.06,246.28,8.05,-0.065,43.99,182.62,95.6,normal,73.56,Watch,tread_wear
213,1,FL,steer,123658.7,20.77,67.19,763.75,67.52,4277.85,4.11,6.965,0.0257,0.0204,1.0031,0.103,1.77,2091.189,0.019,349.03,0.76,0.328,125.82,560.11,61.3,overload,73.82,Watch,load
222,1,RRO,drive,32293.8,38.1,39.66,719.86,70.49,1635.78,4.19,13.643,-0.0505,0.006,0.9225,-0.354,1.163,1262.72,0.0535,209.24,4.48,0.217,81.79,227.24,24.21,normal,98.9,Healthy,none
141,5,FL,steer,250220.0,35.22,55.69,778.71,72.34,2128.09,2.0,0.3,0.0381,0.0017,0.9445,2.374,0.829,1736.797,0.0389,289.81,2.73,1.057,62.59,273.28,98.33,normal,70.21,Watch,tread_wear
38,4,RLO,drive,105774.5,31.66,68.8,637.86,72.59,1541.1,7.44,8.942,-0.0318,0.054,0.9547,1.381,-1.547,2188.229,0.0446,364.4,-7.42,1.812,77.06,241.61,50.32,normal,85.55,Healthy,pressure
80,5,RLI,drive,257574.7,42.08,73.0,531.63,114.29,1285.11,16.51,0.235,0.1613,0.0568,1.0303,2.046,0.706,2324.944,0.1003,389.86,-22.84,0.265,64.26,241.73,98.69,multi_fault,2.76,Critical,pressure
167,8,RLI,drive,127326.2,13.95,100.0,405.18,96.28,1303.36,10.32,4.553,-0.0248,-0.0782,0.8791,-2.318,3.936,3186.617,0.0843,530.43,-41.19,0.906,65.17,321.67,74.7,underinflation,42.24,Warning,pressure
195,6,RLI,drive,201943.8,36.22,72.16,661.86,79.51,1235.45,8.19,0.871,-0.0329,-0.0098,1.0436,0.164,1.382,2297.341,0.032,381.2,-3.94,2.216,61.77,186.66,95.16,normal,64.99,Watch,tread_wear
246,6,RRO,drive,158665.8,37.13,45.33,709.47,74.88,1377.38,10.72,0.3,0.0467,0.0954,0.9758,3.051,1.95,1443.494,0.0629,241.6,2.97,0.636,68.87,194.14,98.33,normal,67.79,Watch,tread_wear
44,6,FR,steer,43765.1,21.78,74.28,753.14,65.97,2012.35,9.54,13.908,-0.0061,0.0054,1.0843,-1.713,4.844,2315.26,0.0489,388.69,-0.64,1.504,59.19,267.2,22.73,normal,98.1,Healthy,none
183,4,FL,steer,228920.8,26.91,89.36,758.09,72.78,2569.35,9.39,0.3,0.0898,-0.0469,1.0042,2.999,2.545,2792.59,0.0585,465.59,0.01,0.882,75.57,338.92,98.33,normal,70.21,Watch,tread_wear
238,8,RRI,drive,169959.8,20.07,46.29,669.21,50.6,1476.2,9.87,2.278,0.0661,-0.0575,0.928,0.187,0.495,1470.618,0.0655,246.63,-2.87,1.685,73.81,220.59,87.34,normal,87.84,Healthy,tread_wear
150,1,RRO,drive,170960.4,43.02,59.64,688.39,86.41,1521.09,9.1,2.983,-0.0661,0.0612,0.9998,-2.114,1.536,1900.46,0.052,315.62,-0.09,2.163,76.05,220.96,83.43,normal,88.1,Healthy,temperature
59,3,RRO,drive,177558.4,31.9,55.61,669.64,71.11,1529.86,5.33,2.884,-0.0157,-0.0442,1.0781,2.17,-2.272,1768.228,0.0526,296.69,-2.81,1.477,76.49,228.46,83.98,normal,92.45,Healthy,none
218,3,RLO,drive,39116.0,22.55,60.15,661.13,65.97,1221.94,8.38,14.635,0.0305,0.0264,1.0988,-3.309,-1.751,1917.119,0.0616,316.43,-4.05,1.042,61.1,184.83,18.69,normal,92.92,Healthy,pressure
181,1,RRI,drive,273451.2,28.96,47.13,676.13,59.64,1914.47,7.81,0.3,-0.0783,-0.0477,1.0034,0.135,-1.415,1503.139,0.0529,247.33,-1.87,1.107,95.72,283.15,98.33,normal,62.08,Watch,tread_wear
108,3,FL,steer,119288.9,11.02,95.26,792.61,61.72,2178.33,6.7,6.918,0.0628,-0.054,0.917,0.423,-0.995,2973.513,0.0677,494.19,4.57,1.106,64.07,274.83,61.57,normal,92.12,Healthy,none
11,6,RLI,drive,170060.7,28.19,64.91,683.53,73.08,1200.26,7.84,0.3,0.053,0.0431,0.9621,-1.913,0.39,2067.737,0.0451,343.44,-0.79,1.455,60.01,175.6,98.33,normal,67.77,Watch,tread_wear
105,7,RLO,drive,270661.8,21.43,67.88,681.2,93.06,1266.74,9.27,0.3,0.0145,0.0843,0.9587,-0.111,0.402,2160.376,0.0549,358.9,-1.13,5.077,63.34,185.96,98.33,overheating,54.33,Warning,tread_wear
87,3,FL,steer,170538.3,23.99,72.36,746.55,61.03,3086.44,14.62,0.3,0.0688,0.0589,1.0041,0.255,1.817,2256.647,0.0524,378.9,-1.51,0.333,90.78,413.43,98.33,normal,71.4,Watch,tread_wear
24,8,FR,steer,112300.5,38.36,66.14,788.94,80.71,3110.25,6.27,6.111,-0.0537,-0.1654,0.9276,-0.001,0.425,2062.482,0.1087,346.1,4.08,1.526,91.48,394.23,66.05,normal,86.14,Healthy,temperature
196,8,RRO,drive,86713.1,32.27,63.63,703.2,76.08,1471.15,8.64,10.537,-0.0584,-0.0798,0.9572,-0.526,0.794,2028.039,0.0622,335.5,2.06,-0.074,73.56,209.21,41.46,normal,94.34,Healthy,none
242,5,RRO,drive,145672.2,17.98,72.18,711.42,57.94,1589.0,7.76,5.939,0.0148,0.0091,0.9621,3.354,-0.362,2295.486,0.0241,381.38,3.25,1.719,79.45,223.36,67.01,normal,96.06,Healthy,none
29,5,RLO,drive,183487.8,33.44,79.74,681.65,78.67,1763.28,6.7,0.3,-0.0171,-0.0099,0.98,-0.667,1.475,2539.028,0.0162,421.82,-1.07,1.515,88.16,258.68,98.33,normal,63.2,Watch,tread_wear
104,8,RLI,drive,72015.2,20.32,95.19,723.18,73.75,1629.09,11.12,9.983,0.0145,-0.076,0.9794,1.645,1.237,3028.585,0.0462,503.75,4.96,1.889,81.45,225.27,44.54,normal,93.2,Healthy,none
34,1,RLO,drive,5324.8,35.08,69.68,709.32,75.51,1166.68,6.78,17.171,-0.0138,0.0434,1.0595,-1.276,-1.122,2216.28,0.0433,370.05,2.95,0.022,58.33,164.48,4.61,normal,93.55,Healthy,none
5,7,RRO,drive,79222.9,35.8,50.79,686.4,73.87,1416.25,10.46,10.118,0.0587,0.0294,1.0321,2.078,-1.415,1612.454,0.0422,268.21,-0.38,0.929,70.81,206.33,43.79,normal,98.48,Healthy,none
228,1,FL,steer,139686.1,13.61,50.65,583.08,86.52,1480.4,10.29,2.706,0.0808,0.066,1.0501,-0.41,2.626,1578.082,0.0668,264.68,-23.08,0.247,43.54,253.89,84.96,multi_fault,44.6,Warning,pressure
216,7,FR,steer,275752.7,30.98,28.79,737.27,59.8,3201.77,8.38,0.3,-0.0233,-0.0309,0.9191,2.405,0.052,901.453,0.0518,147.85,-2.74,0.45,94.17,434.28,98.33,normal,65.01,Watch,tread_wear
168,1,FL,steer,119833.2,33.31,30.63,727.88,60.66,1799.96,6.96,3.877,0.0134,0.0243,0.9185,-1.148,2.064,953.7,0.0497,161.05,-3.97,0.147,52.94,247.29,78.46,normal,92.42,Healthy,pressure
178,4,FR,steer,53256.1,29.78,0.0,771.07,49.79,2598.43,4.79,12.716,0.01,0.007,1.0084,0.162,0.446,-0.85,0.0085,0.0,1.72,1.874,76.42,336.99,29.36,normal,97.33,Healthy,none
231,8,RRI,drive,289355.8,24.02,60.06,645.51,64.11,1258.16,12.34,0.3,0.0566,-0.0077,1.0004,2.339,2.118,1912.872,0.033,318.41,-6.31,0.893,62.91,194.91,98.33,normal,61.74,Watch,tread_wear
201,5,RLO,drive,240494.9,30.02,100.0,729.42,86.81,2156.84,5.64,0.3,0.0941,0.0481,1.003,3.154,-4.268,3182.682,0.061,530.0,5.87,1.925,107.84,295.69,98.33,overload,37.02,Critical,tread_wear
243,3,RRI,drive,78962.7,22.72,66.95,806.37,64.31,1675.09,7.16,10.351,0.0229,-0.0053,0.9247,-0.769,-1.969,2128.751,0.0455,353.06,17.03,0.724,83.75,207.73,42.5,overinflation,88.04,Healthy,pressure
146,4,FR,steer,297947.0,35.93,57.68,781.43,73.46,2328.38,8.93,0.3,0.0097,-0.0471,1.0491,2.573,2.727,1799.025,0.0397,300.37,3.09,-0.026,68.48,297.97,98.33,normal,66.08,Watch,tread_wear
112,2,RLI,drive,191101.6,36.98,68.83,735.52,80.63,1184.95,10.56,0.3,0.0191,-0.0607,0.9392,2.475,1.794,2189.882,0.0508,366.77,6.75,-0.135,59.25,161.1,98.33,normal,57.62,Warning,tread_wear
132,2,FR,steer,89437.1,41.28,31.59,703.92,66.85,2893.52,9.91,7.723,0.1058,-0.0584,1.0365,2.371,1.904,986.595,0.0729,163.94,-7.13,0.692,85.1,411.06,57.1,normal,89.8,Healthy,pressure
88,8,FR,steer,288330.3,26.09,42.64,717.59,61.32,2979.05,10.54,2.936,0.0084,0.0337,0.9817,0.155,0.401,1333.787,0.0227,219.96,-5.33,1.61,87.62,415.15,83.69,tread_wear,91.39,Healthy,pressure
164,2,FL,steer,58133.0,28.31,92.79,761.32,74.5,2800.89,10.91,13.006,0.0613,0.0251,0.9332,-0.993,0.562,2895.159,0.0543,480.07,0.44,0.765,82.38,367.9,27.74,normal,96.02,Healthy,none
1,2,FL,steer,216340.1,23.21,45.8,756.12,50.22,2563.3,8.62,0.3,0.1055,0.0783,0.9407,-1.503,2.431,1430.929,0.0832,242.26,-0.25,1.057,75.39,339.01,98.33,normal,75.61,Watch,tread_wear
95,6,RRI,drive,161671.2,41.15,100.0,672.82,93.17,1419.27,5.72,2.452,0.0576,0.0564,0.9649,2.472,1.204,3184.036,0.0508,529.77,-2.35,0.373,70.96,210.94,86.38,tread_wear,71.99,Watch,temperature
69,7,RLI,drive,289035.1,30.25,23.32,683.03,55.38,1780.88,4.84,0.3,0.0307,0.098,0.9995,-3.397,-0.571,743.812,0.0593,122.76,-0.87,0.568,89.04,260.73,98.33,normal,73.3,Watch,tread_wear
166,5,FL,steer,72120.8,17.35,77.78,727.39,65.06,2107.45,32.73,11.118,0.0083,-0.1084,0.9764,-0.358,2.157,2423.75,0.0642,405.39,-4.04,0.592,61.98,289.73,38.23,deformation_bulge,85.54,Healthy,deformation
